,id_orig,id_dest,distance_m,location,address,dest_lat,dest_lon,orig_lat,orig_lon,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
739736,131350502433031,131350502322-bg_centroid,4191.491479796899,Gwinett_GA,,34.0181702,-84.0809281,34.0547151,-84.0920784,,53,0,53,51,27,12,0,12,0,0,222149.0484292356,4.464562605136613,1,1.0
740327,131350502441000,131350502322-bg_centroid,4169.26676783392,Gwinett_GA,,34.0181702,-84.0809281,34.0535053,-84.0960633,,203,6,197,191,143,19,0,27,0,2,846361.1538702858,4.429284419583181,1,1.0
740918,131350502441005,131350502322-bg_centroid,3516.5838720555216,Gwinett_GA,,34.0181702,-84.0809281,34.0451284,-84.1008808,,321,4,317,317,201,46,0,70,0,0,1128823.4229298225,3.5087506047893604,1,1.0
741509,131350502441006,131350502322-bg_centroid,3403.401158073805,Gwinett_GA,,34.0181702,-84.0809281,34.0437097,-84.1012828,,96,10,86,90,61,8,0,16,2,3,326726.5111750853,3.369818736043838,1,1.0
742100,131350502441007,131350502322-bg_centroid,3570.226049471037,Gwinett_GA,,34.0181702,-84.0809281,34.0479511,-84.0954087,,80,7,73,74,26,6,0,42,0,0,285618.08395768295,3.5765828425549016,1,1.0
742691,131350502441011,131350502322-bg_centroid,3060.5652296165013,Gwinett_GA,,34.0181702,-84.0809281,34.0403043,-84.1006693,,103,5,98,98,60,15,0,23,0,0,315238.21865049965,2.9816658923304646,1,1.0
743282,131350502442001,131350502322-bg_centroid,3365.3556106702085,Gwinett_GA,,34.0181702,-84.0809281,34.038704,-84.1077562,,593,56,537,544,263,80,0,175,4,22,1995655.8771274337,3.3243641759745315,1,1.0
743873,131350502442002,131350502322-bg_centroid,3100.24385672499,Gwinett_GA,,34.0181702,-84.0809281,34.0363217,-84.1064637,,41,3,38,38,21,8,0,9,0,0,127109.9981257246,3.0241970807274416,1,1.0
744464,131350502442006,131350502322-bg_centroid,3378.077061524187,Gwinett_GA,,34.0181702,-84.0809281,34.0363852,-84.1102648,,171,19,152,145,49,13,0,79,0,4,577651.1775206359,3.3394943662314867,1,1.0
745055,131350502442007,131350502322-bg_centroid,3241.4399928122634,Gwinett_GA,,34.0181702,-84.0809281,34.0374172,-84.1073452,,13,1,12,12,12,0,0,0,0,0,42138.719906559425,3.180524778364131,1,1.0
745646,131350502442009,131350502322-bg_centroid,3574.21196412276,Gwinett_GA,,34.0181702,-84.0809281,34.0328512,-84.1154304,,553,29,524,530,322,79,0,119,2,8,1976539.2161598862,3.581675189592163,1,1.0
746365,131350503061000,131350504463-bg_centroid,6222.064119590274,Gwinett_GA,,33.8834586,-84.193294,33.9280624,-84.2340042,,48,34,14,42,8,3,1,5,0,25,298659.07774033316,9.216478742523169,1,1.0
746956,131350503061001,131350504463-bg_centroid,6109.651284622907,Gwinett_GA,,33.8834586,-84.193294,33.9264973,-84.2344481,,110,67,43,104,26,8,1,17,0,52,672061.6413085198,8.853977521526623,1,1.0
747547,131350503061002,131350504463-bg_centroid,6237.647258244248,Gwinett_GA,,33.8834586,-84.193294,33.9268849,-84.2360792,,93,75,18,65,5,4,2,5,0,49,580101.1950167151,9.267887974122923,1,1.0
748138,131350503061003,131350504463-bg_centroid,6525.490913897744,Gwinett_GA,,33.8834586,-84.193294,33.9274675,-84.2400699,,39,29,10,31,7,1,0,0,0,23,254494.145642012,10.270775920069259,1,1.0
748729,131350503061004,131350504463-bg_centroid,6393.437815482652,Gwinett_GA,,33.8834586,-84.193294,33.9254883,-84.2405681,,56,48,8,49,13,0,4,0,0,32,358032.5176670285,9.797876133485323,1,1.0
749320,131350503061005,131350504463-bg_centroid,6196.3519620167535,Gwinett_GA,,33.8834586,-84.193294,33.9233446,-84.2401809,,87,81,6,69,6,0,1,0,0,62,539082.6206954576,9.1322762793361,1,1.0
749911,131350503061012,131350504463-bg_centroid,5947.5191273615055,Gwinett_GA,,33.8834586,-84.193294,33.9223576,-84.2375259,,144,116,28,120,27,0,6,5,0,82,856442.7543400568,8.356110031714197,1,1.0
750502,131350503061013,131350504463-bg_centroid,5953.310163751998,Gwinett_GA,,33.8834586,-84.193294,33.9229199,-84.2368899,,142,108,34,121,37,2,9,0,0,73,845370.0432527837,8.373401111366325,1,1.0
751093,131350503061014,131350504463-bg_centroid,6369.254907188426,Gwinett_GA,,33.8834586,-84.193294,33.9260369,-84.2394593,,46,34,12,44,9,1,4,0,0,30,292985.7257306676,9.713662950636156,1,1.0
751684,131350503061015,131350504463-bg_centroid,6346.307391856407,Gwinett_GA,,33.8834586,-84.193294,33.9266787,-84.2382056,,43,34,9,41,12,1,1,1,0,26,272891.2178498255,9.63442122399467,1,1.0
752275,131350503061016,131350504463-bg_centroid,6171.1386359121625,Gwinett_GA,,33.8834586,-84.193294,33.9257128,-84.2366465,,72,46,26,69,9,7,0,7,0,46,444321.9817856757,9.050454477539189,1,1.0
752866,131350503061017,131350504463-bg_centroid,5965.625605665374,Gwinett_GA,,33.8834586,-84.193294,33.9219807,-84.2382844,,135,108,27,115,32,3,8,0,0,72,805359.4567648255,8.410292037070267,1,1.0
753457,131350503061018,131350504463-bg_centroid,5877.538478059255,Gwinett_GA,,33.8834586,-84.193294,33.9251949,-84.2323739,,83,66,17,75,16,5,1,4,0,49,487835.6936789182,8.149960757474654,1,1.0
754048,131350503062001,131350504463-bg_centroid,7147.990183682278,Gwinett_GA,,33.8834586,-84.193294,33.9406817,-84.2285868,,90,1,89,85,19,26,0,40,0,0,643319.116531405,12.8264111349557,1,1.0
754639,131350503062003,131350504463-bg_centroid,7309.436338866042,Gwinett_GA,,33.8834586,-84.193294,33.9434719,-84.2256167,,32,0,32,31,6,18,0,7,0,0,233901.96284371335,13.587297208655537,1,1.0
755230,131350503062008,131350504463-bg_centroid,7334.715335383431,Gwinett_GA,,33.8834586,-84.193294,33.9363191,-84.240837,,1,1,0,0,0,0,0,0,0,0,7334.715335383431,13.710456310431356,1,1.0
755821,131350503062016,131350504463-bg_centroid,6264.885418533911,Gwinett_GA,,33.8834586,-84.193294,33.9344411,-84.2221906,,9,2,7,7,0,7,0,0,0,0,56383.96876680521,9.358437097386435,1,1.0
756412,131350503062017,131350504463-bg_centroid,6391.052438153256,Gwinett_GA,,33.8834586,-84.193294,33.9354378,-84.2228495,,8,0,8,8,3,2,0,2,0,1,51128.41950522605,9.78953707791633,1,1.0
757003,131350503062018,131350504463-bg_centroid,6829.007026188137,Gwinett_GA,,33.8834586,-84.193294,33.9393028,-84.2240898,,97,15,82,94,25,54,1,4,0,10,662413.6815402494,11.446041839089812,1,1.0
757594,131350503062019,131350504463-bg_centroid,7031.267416126016,Gwinett_GA,,33.8834586,-84.193294,33.9411487,-84.224492,,18,4,14,14,6,1,0,4,0,3,126562.81349026828,12.302982488431438,1,1.0
758185,131350503062020,131350504463-bg_centroid,6418.456373205053,Gwinett_GA,,33.8834586,-84.193294,33.936284,-84.2213296,,11,0,11,11,10,0,0,1,0,0,70603.02010525558,9.885767780877808,1,1.0
758776,131350503062022,131350504463-bg_centroid,6124.9776507713295,Gwinett_GA,,33.8834586,-84.193294,33.9327895,-84.2228235,,5,4,1,2,2,0,0,0,0,0,30624.888253856647,8.902548722564527,1,1.0
759367,131350503062031,131350504463-bg_centroid,5938.485846325404,Gwinett_GA,,33.8834586,-84.193294,33.9262807,-84.2317456,,131,62,69,120,17,16,0,43,0,44,777941.6458686279,8.329209405336226,1,1.0
759958,131350503062032,131350504463-bg_centroid,6020.692520546905,Gwinett_GA,,33.8834586,-84.193294,33.928021,-84.2303509,,82,50,32,67,18,4,10,12,1,22,493696.7866848462,8.577243357774732,1,1.0
760549,131350503063000,131350504463-bg_centroid,5593.78537432363,Gwinett_GA,,33.8834586,-84.193294,33.9297307,-84.2170763,,47,5,42,39,6,32,0,0,0,1,262907.91259321064,7.364905350406091,1,1.0
761140,131350503063009,131350504463-bg_centroid,5821.115959473273,Gwinett_GA,,33.8834586,-84.193294,33.9292641,-84.2238334,,471,427,44,388,60,17,15,20,0,276,2741745.6169119114,7.987460280489197,1,1.0
761731,131350503063011,131350504463-bg_centroid,5621.463620062103,Gwinett_GA,,33.8834586,-84.193294,33.9248597,-84.2282506,,417,181,236,327,53,33,7,169,0,65,2344150.3295658967,7.438030303583223,1,1.0
762322,131350503063012,131350504463-bg_centroid,5670.44950884369,Gwinett_GA,,33.8834586,-84.193294,33.921832,-84.2337598,,260,189,71,210,29,12,10,29,0,130,1474316.8722993594,7.569233423668696,1,1.0
762913,131350503063013,131350504463-bg_centroid,5942.846994973025,Gwinett_GA,,33.8834586,-84.193294,33.9233196,-84.2361889,,129,89,40,116,43,3,10,10,2,48,766627.2623515202,8.342185842598447,1,1.0
763504,131350503063016,131350504463-bg_centroid,4752.685536416967,Gwinett_GA,,33.8834586,-84.193294,33.9220344,-84.2154701,,121,13,108,116,28,78,1,5,0,4,575074.949906453,5.454778023407102,1,1.0
