,id_orig,id_dest,distance_m,location,address,dest_lat,dest_lon,orig_lat,orig_lon,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
1955732,131350505781011,131350505881-bg_centroid,10740.667258414214,Gwinett_GA,,33.9234766,-83.9019497,33.9919554,-83.9840811,,24,1,23,20,9,8,0,3,0,0,257776.01420194114,46.2438387180891,1,1.0
1955956,131350505782000,131350501151-bg_centroid,9411.445727211065,Gwinett_GA,,34.0991703,-83.992868,34.0149679,-83.9825041,,1005,138,867,925,527,203,8,142,0,45,9458502.95584712,28.77355651002973,1,1.0
1956547,131350505782001,131350501151-bg_centroid,9859.856526831854,Gwinett_GA,,34.0991703,-83.992868,34.0112663,-83.978815,,90,14,76,78,23,20,0,28,0,7,887387.0874148669,33.768181664999645,1,1.0
1957138,131350505782002,131350501151-bg_centroid,9408.3365018634,Gwinett_GA,,34.0991703,-83.992868,34.0147606,-83.9858259,,36,13,23,29,24,0,0,4,0,1,338700.1140670824,28.741639846641036,1,1.0
1957729,131350505782003,131350501151-bg_centroid,10041.20138595184,Gwinett_GA,,34.0991703,-83.992868,34.0092228,-83.983212,,99,7,92,88,66,13,0,7,0,2,994078.9372092321,36.02635775033443,1,1.0
1958320,131350505782005,131350501151-bg_centroid,10240.473002282226,Gwinett_GA,,34.0991703,-83.992868,34.0074023,-83.9835141,,54,18,36,50,28,2,0,7,0,13,552985.5421232402,38.682283590061765,1,1.0
1958911,131350505782006,131350501151-bg_centroid,10358.952118843476,Gwinett_GA,,34.0991703,-83.992868,34.0063855,-83.9827844,,48,18,30,46,28,5,1,0,0,12,497229.70170448686,40.35330689489117,1,1.0
1959502,131350505791000,131350501151-bg_centroid,9226.510544057694,Gwinett_GA,,34.0991703,-83.992868,34.0190454,-83.9668392,,139,40,99,120,59,20,4,15,0,22,1282484.9656240195,26.935452742660615,1,1.0
1960093,131350505791001,131350501151-bg_centroid,8751.060978081834,Gwinett_GA,,34.0991703,-83.992868,34.0228437,-83.9697136,,71,7,64,65,54,0,0,4,0,7,621325.3294438103,22.730998348053433,1,1.0
1960684,131350505791002,131350501151-bg_centroid,8649.328960610615,Gwinett_GA,,34.0991703,-83.992868,34.0229861,-83.9739163,,18,1,17,15,11,4,0,0,0,0,155687.92129099107,21.920359655089772,1,1.0
1961275,131350505791003,131350501151-bg_centroid,8823.168265758664,Gwinett_GA,,34.0991703,-83.992868,34.0210898,-83.9758133,,317,83,234,278,167,43,0,31,0,37,2796944.3402454965,23.323666419234517,1,1.0
1961866,131350505791004,131350501151-bg_centroid,8510.925967343472,Gwinett_GA,,34.0991703,-83.992868,34.0233785,-83.979977,,82,10,72,72,42,19,0,8,1,2,697895.9293221647,20.863731460424024,1,1.0
1962457,131350505791005,131350501151-bg_centroid,9000.735566785053,Gwinett_GA,,34.0991703,-83.992868,34.0199946,-83.9725486,,43,7,36,38,27,6,0,0,0,5,387031.62937175727,24.849856983419308,1,1.0
1963048,131350505791006,131350501151-bg_centroid,8930.1272391765,Gwinett_GA,,34.0991703,-83.992868,34.0209753,-83.9707647,,42,1,41,41,39,0,0,0,0,2,375065.34404541296,24.231369290348894,1,1.0
1963639,131350505791007,131350501151-bg_centroid,10051.591248480376,Gwinett_GA,,34.0991703,-83.992868,34.0114358,-83.966587,,290,54,236,267,103,83,0,54,0,27,2914961.462059309,36.16021702278354,1,1.0
1964230,131350505791009,131350501151-bg_centroid,9667.860408735707,Gwinett_GA,,34.0991703,-83.992868,34.0151697,-83.965788,,36,16,20,21,1,12,0,3,0,5,348042.97471448546,31.53143966491458,1,1.0
1964821,131350505791010,131350501151-bg_centroid,9297.622176934005,Gwinett_GA,,34.0991703,-83.992868,34.0176097,-83.9706306,,73,6,67,59,27,9,0,23,0,0,678726.4189161824,27.627923260788897,1,1.0
1965412,131350505791011,131350501151-bg_centroid,9620.484613689354,Gwinett_GA,,34.0991703,-83.992868,34.0157484,-83.9651766,,18,3,15,14,4,5,0,4,0,1,173168.72304640838,31.002694964885226,1,1.0
1966003,131350505792000,131350501151-bg_centroid,7996.78395969156,Gwinett_GA,,34.0991703,-83.992868,34.0304129,-83.9674196,,1010,154,856,940,625,152,0,80,0,83,8076751.799288476,17.365527663765967,1,1.0
1966594,131350505792001,131350501151-bg_centroid,7804.9115095069,Gwinett_GA,,34.0991703,-83.992868,34.032026,-83.9681747,,43,9,34,36,5,12,0,19,0,0,335611.1949087967,16.2159829963569,1,1.0
