demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,145953566.60773584,2635.016548253039,348108.98127714556,55390,6.284690039305751,3069.68096294838
black,339671405.7610399,2839.966938907059,866325.986216408,119604,7.243286062476238,3306.753621238391
hispanic,176258718.476294,2631.6305369947,427279.64843225124,66977,6.379498162537158,3094.685942555843
native,6699400.370624263,2578.6760471994853,16011.342378962445,2598,6.162949337552904,3037.013692481054
population,1113884077.1709907,2793.6428659914845,2805146.9048770075,398721,7.035362834856974,3258.113260110303
white,437829906.20305365,2876.8638294438115,1125281.6137371266,152190,7.393926103798716,3341.1290076988066
