,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races
2980159,131350506111002,Gwinnett County Public Library - Suwanee Branch,8351.670010088055,Gwinnett_GA,"361 Main St, Suwanee, GA 30024",34.066465899877706,-84.07028790258764,34.0463686,-83.9829364,Library - Potential,potential,455,138,317,384,217,76,3,35,0,53
2980728,131350506111003,Georgia Gwinnett College,6895.289511774924,Gwinnett_GA,1000 University Center Ln,33.98136,-84.00013,34.041762,-83.9832006,College Campus-Potential,potential,66,15,51,53,44,3,0,3,0,3
2980755,131350506111003,Dacula Park Activity Building,9754.549779017583,Gwinnett_GA,2735 Old Auburn Avenue,33.9961,-83.89283,34.041762,-83.9832006,EV_2022_2020,polling,66,15,51,53,44,3,0,3,0,3
2980756,131350506111003,George Pierce Park Community Recreation Center,7084.157453562335,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.041762,-83.9832006,EV_2022_2020,polling,66,15,51,53,44,3,0,3,0,3
2980760,131350506111003,Mountain Park Activity Building,25883.6459713804,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,34.041762,-83.9832006,EV_2022_2020,polling,66,15,51,53,44,3,0,3,0,3
2980776,131350506111003,Gwinnett County Public Library - Suwanee Branch,8480.243546166834,Gwinnett_GA,"361 Main St, Suwanee, GA 30024",34.066465899877706,-84.07028790258764,34.041762,-83.9832006,Library - Potential,potential,66,15,51,53,44,3,0,3,0,3
2981345,131350506111004,Georgia Gwinnett College,6876.56390905204,Gwinnett_GA,1000 University Center Ln,33.98136,-84.00013,34.0425946,-83.9896964,College Campus-Potential,potential,67,11,56,63,50,3,0,9,0,1
2981372,131350506111004,Dacula Park Activity Building,10316.50886615448,Gwinnett_GA,2735 Old Auburn Avenue,33.9961,-83.89283,34.0425946,-83.9896964,EV_2022_2020,polling,67,11,56,63,50,3,0,9,0,1
2981373,131350506111004,George Pierce Park Community Recreation Center,6483.681349250091,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0425946,-83.9896964,EV_2022_2020,polling,67,11,56,63,50,3,0,9,0,1
2981377,131350506111004,Mountain Park Activity Building,25647.36354100987,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,34.0425946,-83.9896964,EV_2022_2020,polling,67,11,56,63,50,3,0,9,0,1
2981393,131350506111004,Gwinnett County Public Library - Suwanee Branch,7884.76875684055,Gwinnett_GA,"361 Main St, Suwanee, GA 30024",34.066465899877706,-84.07028790258764,34.0425946,-83.9896964,Library - Potential,potential,67,11,56,63,50,3,0,9,0,1
2981962,131350506111005,Georgia Gwinnett College,6692.015291514867,Gwinnett_GA,1000 University Center Ln,33.98136,-84.00013,34.0404704,-83.9864861,College Campus-Potential,potential,33,17,16,18,10,1,1,0,0,6
2981989,131350506111005,Dacula Park Activity Building,9942.352710260764,Gwinnett_GA,2735 Old Auburn Avenue,33.9961,-83.89283,34.0404704,-83.9864861,EV_2022_2020,polling,33,17,16,18,10,1,1,0,0,6
2981990,131350506111005,George Pierce Park Community Recreation Center,6836.140994735358,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0404704,-83.9864861,EV_2022_2020,polling,33,17,16,18,10,1,1,0,0,6
2981994,131350506111005,Mountain Park Activity Building,25600.87454797424,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,34.0404704,-83.9864861,EV_2022_2020,polling,33,17,16,18,10,1,1,0,0,6
2982010,131350506111005,Gwinnett County Public Library - Suwanee Branch,8243.77909101327,Gwinnett_GA,"361 Main St, Suwanee, GA 30024",34.066465899877706,-84.07028790258764,34.0404704,-83.9864861,Library - Potential,potential,33,17,16,18,10,1,1,0,0,6
