id_orig,demographic,weighted_dist,demo_pop,avg_dist
131350501051000,asian,0.0,0,
131350501051000,black,0.0,0,
131350501051000,hispanic,0.0,0,
131350501051000,native,0.0,0,
131350501051000,population,6776.532625530948,2,3388.266312765474
131350501051000,white,6776.532625530948,2,3388.266312765474
131350501051001,asian,3657.484198597449,1,3657.484198597449
131350501051001,black,32917.35778737704,9,3657.484198597449
131350501051001,hispanic,3657.484198597449,1,3657.484198597449
131350501051001,native,3657.484198597449,1,3657.484198597449
131350501051001,population,40232.32618457194,11,3657.484198597449
131350501051001,white,40232.32618457194,11,3657.484198597449
131350501051002,asian,7496.350123223664,2,3748.175061611832
131350501051002,black,18740.87530805916,5,3748.175061611832
131350501051002,hispanic,3748.175061611832,1,3748.175061611832
131350501051002,native,11244.525184835496,3,3748.175061611832
131350501051002,population,37481.75061611832,10,3748.175061611832
131350501051002,white,37481.75061611832,10,3748.175061611832
131350501051006,asian,0.0,0,
131350501051006,black,37917.87024951484,10,3791.787024951484
131350501051006,hispanic,30334.296199611872,8,3791.787024951484
131350501051006,native,140296.1199232049,37,3791.787024951484
131350501051006,population,204756.49934738013,54,3791.787024951484
131350501051006,white,204756.49934738013,54,3791.787024951484
131350501051007,asian,3574.088477002124,1,3574.088477002124
131350501051007,black,25018.61933901487,7,3574.0884770021244
131350501051007,hispanic,25018.61933901487,7,3574.0884770021244
131350501051007,native,35740.884770021235,10,3574.0884770021235
131350501051007,population,96500.38887905734,27,3574.088477002124
131350501051007,white,64333.59258603823,18,3574.088477002124
131350501051009,asian,0.0,0,
131350501051009,black,2924.3998894135566,1,2924.3998894135566
131350501051009,hispanic,0.0,0,
131350501051009,native,0.0,0,
131350501051009,population,2924.3998894135566,1,2924.3998894135566
131350501051009,white,2924.3998894135566,1,2924.3998894135566
131350501051010,asian,0.0,0,
131350501051010,black,47018.96279406483,15,3134.597519604322
131350501051010,hispanic,6269.195039208644,2,3134.597519604322
131350501051010,native,166133.66853902905,53,3134.597519604322
131350501051010,population,222556.42389190686,71,3134.597519604322
131350501051010,white,216287.2288526982,69,3134.597519604322
131350501051011,asian,0.0,0,
131350501051011,black,12886.309517001802,4,3221.5773792504506
131350501051011,hispanic,25772.619034003605,8,3221.5773792504506
131350501051011,native,35437.351171754955,11,3221.5773792504506
131350501051011,population,77317.8571020108,24,3221.57737925045
131350501051011,white,54766.81544725766,17,3221.5773792504506
131350501051012,asian,0.0,0,
131350501051012,black,0.0,0,
131350501051012,hispanic,0.0,0,
131350501051012,native,52895.97802912671,17,3111.5281193603946
131350501051012,population,56007.506148487104,18,3111.5281193603946
131350501051012,white,52895.97802912671,17,3111.5281193603946
131350501051013,asian,0.0,0,
131350501051013,black,0.0,0,
131350501051013,hispanic,0.0,0,
131350501051013,native,108797.56967622857,37,2940.4748561142856
131350501051013,population,114678.51938845713,39,2940.4748561142856
131350501051013,white,108797.56967622857,37,2940.4748561142856
131350501051014,asian,0.0,0,
131350501051014,black,11276.60909670834,3,3758.86969890278
131350501051014,hispanic,0.0,0,
131350501051014,native,154113.657655014,41,3758.8696989027803
131350501051014,population,169149.13645062508,45,3758.8696989027794
131350501051014,white,165390.26675172232,44,3758.86969890278
131350501051015,asian,0.0,0,
131350501051015,black,0.0,0,
131350501051015,hispanic,0.0,0,
131350501051015,native,0.0,0,
131350501051015,population,3965.145154076966,1,3965.145154076966
131350501051015,white,0.0,0,
131350501051016,asian,3865.682251619193,1,3865.682251619193
131350501051016,black,15462.729006476771,4,3865.682251619193
131350501051016,hispanic,7731.364503238386,2,3865.682251619193
131350501051016,native,7731.364503238386,2,3865.682251619193
131350501051016,population,34791.140264572736,9,3865.682251619193
131350501051016,white,34791.140264572736,9,3865.682251619193
131350501051018,asian,0.0,0,
131350501051018,black,10993.223508312356,3,3664.407836104119
131350501051018,hispanic,0.0,0,
131350501051018,native,25650.85485272883,7,3664.4078361041184
131350501051018,population,40308.4861971453,11,3664.407836104118
131350501051018,white,40308.4861971453,11,3664.407836104118
131350501051019,asian,0.0,0,
131350501051019,black,58228.72443647568,17,3425.2190844985694
131350501051019,hispanic,3425.2190844985694,1,3425.2190844985694
131350501051019,native,30826.971760487126,9,3425.2190844985694
131350501051019,population,92480.91528146138,27,3425.2190844985694
131350501051019,white,89055.6961969628,26,3425.2190844985694
131350501051020,asian,0.0,0,
131350501051020,black,13816.272609977425,4,3454.068152494356
131350501051020,hispanic,13816.272609977425,4,3454.068152494356
131350501051020,native,131254.58979478554,38,3454.068152494356
131350501051020,population,169249.33947222345,49,3454.068152494356
131350501051020,white,162341.20316723475,47,3454.0681524943566
131350501051021,asian,0.0,0,
131350501051021,black,24037.652955378802,7,3433.950422196972
131350501051021,hispanic,0.0,0,
131350501051021,native,0.0,0,
131350501051021,population,24037.652955378802,7,3433.950422196972
131350501051021,white,24037.652955378802,7,3433.950422196972
131350501051022,asian,0.0,0,
131350501051022,black,17772.56633666106,5,3554.5132673322123
131350501051022,hispanic,17772.56633666106,5,3554.5132673322123
131350501051022,native,3554.5132673322123,1,3554.5132673322123
131350501051022,population,35545.13267332212,10,3554.5132673322123
131350501051022,white,24881.592871325487,7,3554.5132673322123
131350501051024,asian,0.0,0,
131350501051024,black,249647.37634820296,89,2805.0267005416063
131350501051024,hispanic,173911.65543357958,62,2805.0267005416063
131350501051024,native,89760.8544173314,32,2805.0267005416063
131350501051024,population,482464.59249315626,172,2805.0267005416063
131350501051024,white,437584.16528449056,156,2805.0267005416063
131350501051025,asian,0.0,0,
131350501051025,black,0.0,0,
