,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
15235,131350504253000,Mountain Park Activity Building,3170.3184340434354,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8730977,-84.1269188,EV_2022_2020,polling,45,5,40,30,27,0,0,3,0,0,142664.3295319546,3.1007966296912044,0,1.0
15244,131350504253001,Mountain Park Activity Building,2950.4432828999697,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8707507,-84.1251961,EV_2022_2020,polling,52,4,48,51,39,8,0,1,0,3,153423.05071079842,2.8667347296569954,0,1.0
15253,131350504253002,Mountain Park Activity Building,2827.2405598790847,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8699763,-84.1270631,EV_2022_2020,polling,68,7,61,66,49,6,0,9,0,2,192252.35807177777,2.743394179486043,0,1.0
15262,131350504253003,Mountain Park Activity Building,2982.34228365901,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8716448,-84.1288281,EV_2022_2020,polling,13,10,3,4,3,0,0,0,0,1,38770.449687567125,2.8995633169722366,0,1.0
15271,131350504253004,Mountain Park Activity Building,2587.4594415823985,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8669869,-84.123832,EV_2022_2020,polling,111,5,106,99,84,3,0,12,0,0,287207.99801564624,2.5183526681199546,0,1.0
15280,131350504253005,Mountain Park Activity Building,2779.498464465072,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8680407,-84.1213813,EV_2022_2020,polling,60,14,46,50,40,0,0,7,0,3,166769.90786790435,2.697038057958063,0,1.0
15289,131350504253007,Mountain Park Activity Building,2482.564744949803,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8666994,-84.1265688,EV_2022_2020,polling,61,3,58,58,12,11,0,35,0,0,151436.44944193796,2.425802416551617,0,1.0
15298,131350504253008,Mountain Park Activity Building,2480.3720146336573,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8670245,-84.1284605,EV_2022_2020,polling,19,1,18,19,6,0,0,13,0,0,47127.068278039485,2.4239044724756966,0,1.0
15307,131350504253009,Mountain Park Activity Building,2449.505009420508,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8669655,-84.1302582,EV_2022_2020,polling,11,4,7,6,0,2,1,3,0,0,26944.55510362559,2.3973442103706386,0,1.0
15316,131350504253010,Mountain Park Activity Building,2481.835258600292,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8673424,-84.1313562,EV_2022_2020,polling,16,1,15,16,0,1,0,12,0,3,39709.36413760467,2.425170835970332,0,1.0
15325,131350504253011,Mountain Park Activity Building,2194.8001577515206,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8648078,-84.1325054,EV_2022_2020,polling,51,3,48,46,30,6,1,7,0,2,111934.80804532755,2.188997185596875,0,1.0
15334,131350504253013,Mountain Park Activity Building,2330.2583317714857,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8658619,-84.1300294,EV_2022_2020,polling,7,5,2,5,0,1,0,0,0,4,16311.8083224004,2.297441061418444,0,1.0
15343,131350504253014,Mountain Park Activity Building,2242.726080046192,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8637116,-84.1239788,EV_2022_2020,polling,200,11,189,194,157,20,0,9,2,6,448545.2160092384,2.2267673185222754,0,1.0
15352,131350504253015,Mountain Park Activity Building,2012.076593542679,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8621852,-84.1261723,EV_2022_2020,polling,181,7,174,180,150,16,0,9,2,3,364185.8634312249,2.0507786616626777,0,1.0
15361,131350504253016,Mountain Park Activity Building,2065.36052741649,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8633979,-84.1295772,EV_2022_2020,polling,37,3,34,33,32,1,0,0,0,0,76418.33951441014,2.0901576414194443,0,1.0
15370,131350504254000,Mountain Park Activity Building,2072.8744970863645,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8596322,-84.1192505,EV_2022_2020,polling,101,5,96,88,58,28,0,2,0,0,209360.3242057228,2.095771270941622,0,1.0
15379,131350504254001,Mountain Park Activity Building,1454.5400441581555,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8573002,-84.1276607,EV_2022_2020,polling,156,5,151,148,127,18,0,1,0,2,226908.24688867226,1.6806900310185662,0,1.0
15388,131350504254002,Mountain Park Activity Building,1650.6987367905272,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8582738,-84.1250867,EV_2022_2020,polling,45,9,36,36,32,2,0,1,0,1,74281.44315557372,1.802589327741809,0,1.0
15397,131350504254003,Mountain Park Activity Building,1032.8115351706049,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8527575,-84.1269855,EV_2022_2020,polling,14,1,13,13,4,6,0,3,0,0,14459.361492388469,1.4458054957333244,0,1.0
15406,131350504254004,Mountain Park Activity Building,1851.6250559903156,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.856369,-84.1185402,EV_2022_2020,polling,471,37,434,445,268,76,1,83,0,17,872115.4013714386,1.9366228877355707,0,1.0
15415,131350504254005,Mountain Park Activity Building,1165.7968746188562,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8519379,-84.1237314,EV_2022_2020,polling,65,1,64,64,12,10,0,40,0,2,75776.79685022566,1.5160925017436495,0,1.0
15424,131350504254006,Mountain Park Activity Building,1258.327228969364,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,33.8523558,-84.1228438,EV_2022_2020,polling,64,4,60,58,5,12,0,41,0,0,80532.94265403929,1.567003846008398,0,1.0
