demographic,weighted_dist,demo_pop,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,23016114.041134406,5464,4212.319553648317,30802.165919744148,5464,5.6372924450483435,4844.887685694427
black,1145929128.3782268,269787,4247.532788378338,1555514.7424391664,269787,5.765714220622812,4907.991401462104
hispanic,623562776.4580501,146659,4251.7866374245705,833035.4329117138,146659,5.680083956059389,4866.072819436548
native,803021656.2252055,188825,4252.729544420525,1066920.7119751133,188825,5.65031490520383,4851.351793857469
population,2981047961.173826,709484,4201.712739362447,3991142.96786239,709484,5.625416454581625,4838.9796321798885
white,2691996695.049644,642036,4192.906153314836,3602965.3823994864,642036,5.61178093190956,4832.180847737203
