demographic,weighted_dist,demo_pop,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,22736871.98279375,5464,4161.213759662106,30471.261297435438,5464,5.576731569808828,4814.628853571847
black,1130053585.7614846,269787,4188.688060438363,1555610.8705384075,269787,5.766070531709858,4908.164522595771
hispanic,616549711.6256957,146659,4203.967786673138,822725.0563611723,146659,5.609782259262455,4831.182905067051
native,790656711.523206,188825,4187.245923597013,1046672.3381082747,188825,5.543081361622003,4797.673420828604
population,2940906400.981084,709484,4145.134211597561,3951918.5746974996,709484,5.570130650863867,4811.310909233286
white,2655919671.8908644,642036,4136.7145641223615,3569856.330157388,642036,5.560212091155929,4806.317956353053
