demographic,weighted_dist,demo_pop,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,8363148.098578784,5464,1530.590794029792,9760.551464080196,5464,1.7863381156808558,1625.3275182712339
black,470942565.434798,269787,1745.6088152312677,523663.6175268954,269787,1.9410261336791448,1857.987469794881
hispanic,220981343.97167003,146659,1506.7697445889446,259775.27408882548,146659,1.771287640641389,1601.6241635077665
native,301836123.06044877,188825,1598.4966135863829,347258.16292135767,188825,1.8390475992128037,1706.7946495652213
population,1164825397.6444025,709484,1641.7923415389248,1324975.2359218693,709484,1.8675195436709908,1749.834532044131
white,1057193418.660031,642036,1646.6263864643586,1201299.4793109468,642036,1.8710780693153448,1755.1676204773337
