,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
53609,131350505361008,Rhodes Jordan Park Community Recreation Center,4218.630681235155,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9530821,-84.0330985,EV_2022,polling,19,9,10,4,1,0,2,1,8,3,80153.98294346794,18.77237765530187,0,1.0
53612,131350505361009,Rhodes Jordan Park Community Recreation Center,4986.593849753465,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.943775,-84.0394725,EV_2022,polling,113,12,101,18,70,0,12,0,9,4,563485.1050221416,32.01487654371743,0,1.0
53615,131350505361010,Rhodes Jordan Park Community Recreation Center,4914.727598794249,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9437534,-84.0386538,EV_2022,polling,61,7,54,11,38,0,7,0,0,5,299798.3835264492,30.45487797487009,0,1.0
53618,131350505361011,Rhodes Jordan Park Community Recreation Center,4089.047277880613,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9534955,-84.0317278,EV_2022,polling,1,0,1,1,0,0,0,0,0,0,4089.047277880613,17.155393097179473,0,1.0
53621,131350505361013,Rhodes Jordan Park Community Recreation Center,4536.737885804961,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9528168,-84.0365327,EV_2022,polling,314,92,222,64,80,11,76,0,46,37,1424535.6961427575,23.417979099921293,0,1.0
53624,131350505362011,Rhodes Jordan Park Community Recreation Center,4356.965229686915,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9558209,-84.0347472,EV_2022,polling,6,6,0,2,1,0,0,0,1,2,26141.791378121492,20.667106859975693,0,1.0
53625,131350505362014,Gas South-Hudgens Center for Arts,5333.667460669416,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9576483,-84.0531118,EV_2022,polling,435,72,363,94,224,10,51,0,39,17,2320145.3453911957,40.749880091423876,0,1.0
53630,131350505362015,Rhodes Jordan Park Community Recreation Center,5528.773999649263,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.954781,-84.0474307,EV_2022,polling,442,81,361,107,199,8,49,0,32,47,2443718.1078449744,46.6686301450088,0,1.0
53633,131350505362016,Rhodes Jordan Park Community Recreation Center,5277.691565697181,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9544885,-84.044696,EV_2022,polling,55,14,41,1,24,4,12,0,4,10,290273.036113345,39.194790238206025,0,1.0
53636,131350505362017,Rhodes Jordan Park Community Recreation Center,2666.2891998570576,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9600464,-84.0160348,EV_2022,polling,150,5,145,127,15,0,3,0,5,0,399943.37997855863,6.381147520480038,0,1.0
53639,131350505362020,Rhodes Jordan Park Community Recreation Center,5649.191715890735,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9500904,-84.0483201,EV_2022,polling,53,33,20,8,18,3,0,0,14,10,299407.16094220895,50.74306854789306,0,1.0
53642,131350505362021,Rhodes Jordan Park Community Recreation Center,5210.639162898499,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.94941,-84.043415,EV_2022,polling,541,153,388,123,172,11,105,0,56,74,2818955.787128088,37.4099028384951,0,1.0
53645,131350505362022,Rhodes Jordan Park Community Recreation Center,5349.947618947494,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9517286,-84.0452681,EV_2022,polling,55,21,34,5,15,3,8,0,9,15,294247.1190421122,41.2136411807863,0,1.0
53648,131350505362023,Rhodes Jordan Park Community Recreation Center,5169.983436378354,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9476437,-84.042615,EV_2022,polling,62,23,39,36,0,1,2,0,19,4,320538.97305545793,36.367499258562034,0,1.0
53651,131350505362024,Rhodes Jordan Park Community Recreation Center,5593.259624394417,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9521272,-84.0479574,EV_2022,polling,57,17,40,6,25,3,4,0,8,11,318815.7985904818,48.808106455720996,0,1.0
53654,131350505363001,Rhodes Jordan Park Community Recreation Center,2515.744710792432,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9563498,-84.0147851,EV_2022,polling,8,5,3,2,1,0,0,0,5,0,20125.957686339458,5.7471488879343156,0,1.0
53657,131350505363004,Rhodes Jordan Park Community Recreation Center,3003.136694710165,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9483124,-84.0186679,EV_2022,polling,502,243,259,132,136,15,24,0,99,96,1507574.6207445029,8.06466312610866,0,1.0
53660,131350505363005,Rhodes Jordan Park Community Recreation Center,3361.4067943259097,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9490565,-84.0229359,EV_2022,polling,158,75,83,41,44,8,13,0,35,17,531102.2735034938,10.34524375862622,0,1.0
53663,131350505363006,Rhodes Jordan Park Community Recreation Center,3166.0591522427458,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9508379,-84.0212332,EV_2022,polling,100,53,47,20,26,2,2,0,39,11,316605.91522427456,9.031694225570906,0,1.0
53666,131350505363007,Rhodes Jordan Park Community Recreation Center,3539.2025704356465,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9477917,-84.0245341,EV_2022,polling,168,53,115,83,20,4,21,0,30,10,594586.0318331886,11.706139011527696,0,1.0
53669,131350505363008,Rhodes Jordan Park Community Recreation Center,3042.862488678917,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9511804,-84.0199517,EV_2022,polling,84,36,48,12,39,0,1,0,22,10,255600.44904902903,8.290460313844425,0,1.0
53672,131350505363009,Rhodes Jordan Park Community Recreation Center,3739.123411271648,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9439827,-84.0253006,EV_2022,polling,78,35,43,15,19,4,2,0,33,5,291651.62607918854,13.451345743777782,0,1.0
53675,131350505363010,Rhodes Jordan Park Community Recreation Center,3422.2618251115514,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9478135,-84.0232259,EV_2022,polling,96,36,60,31,22,0,6,0,32,5,328537.13521070895,10.792240906122231,0,1.0
53678,131350505363011,Rhodes Jordan Park Community Recreation Center,3826.878146601314,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.947424,-84.0276438,EV_2022,polling,47,26,21,18,0,0,10,0,5,14,179863.27289026175,14.297401572603167,0,1.0
53681,131350505363012,Rhodes Jordan Park Community Recreation Center,3661.938205074549,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.949275,-84.026337,EV_2022,polling,82,44,38,31,12,6,0,0,23,10,300278.932816113,12.748675970368112,0,1.0
53684,131350505363013,Rhodes Jordan Park Community Recreation Center,4057.109417051253,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9444263,-84.0291624,EV_2022,polling,111,67,44,30,16,7,3,0,30,25,450339.1452926891,16.778737499505944,0,1.0
53687,131350505363014,Rhodes Jordan Park Community Recreation Center,4247.398225597171,Gwinnett_GA,100 East Crogan Street,33.95615,-83.98751,33.9411386,-84.0298521,EV_2022,polling,130,68,62,23,40,2,2,0,28,35,552161.7693276323,19.151536495853566,0,1.0
53688,131350505371004,Gas South-Hudgens Center for Arts,4107.843984448309,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9550925,-84.100326,EV_2022,polling,695,175,520,195,245,7,78,0,104,66,2854951.569191575,17.381010400734656,0,1.0
