demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,369771498.940655,3710.665210992915,576632.5146015651,99651,5.78652010116873,4383.928212583884
black,783592785.6936456,4149.8360158540745,1339462.157804749,188825,7.093669576617232,4892.538997827291
hispanic,576376459.6631663,3930.0449318702995,939942.9077921341,146659,6.4090366618627845,4639.087745923085
native,21130093.00325999,3867.1473285614916,33247.42054584498,5464,6.084813423470897,4509.450358280739
population,2928089367.6027064,4127.06892277022,5294368.661536005,709484,7.462280560993631,5019.043353728922
white,1175184368.8719237,4355.97107670838,2385370.7089883676,269787,8.84168143382879,5442.609955090027
