demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,273743469.5805904,2747.021801894516,639320.1748453729,99651,6.415592165109963,3143.96942738274
black,545701881.5029463,2889.987456655349,1353378.6359074418,188825,7.167369977002208,3331.395825290616
hispanic,407017493.9757924,2775.2643477440347,952839.7054737197,146659,6.496973970051069,3165.290654977182
native,15207864.228613257,2783.2840828355156,35310.71153979275,5464,6.462428905525759,3156.2729973489804
population,2043517427.1631916,2880.286838270055,5081092.425843381,709484,7.161673026937016,3330.050841821809
white,801423548.8875161,2970.578822876996,2088816.673221887,269787,7.742465994365507,3461.945173114423
