demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,159188987.69798663,1597.465029934337,652270.0271129966,99651,6.545544220459369,1874.5329529286496
black,302777400.6483842,1603.481533951459,1290281.5541255304,188825,6.8332135793752435,1917.4461481850797
hispanic,221763312.2738304,1512.1016253610785,884364.2613009388,146659,6.030071535336657,1792.692900276245
native,8380822.369814408,1533.8254703174246,33434.42496772546,5464,6.119038244459272,1807.3058176565764
population,1163200211.421177,1639.501682097379,5034753.695420738,709484,7.096359742320811,1955.1475062945497
white,469763905.9931344,1741.2399633530688,2154979.284022244,269787,7.987706168281808,2073.201440867423
