demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,411120322.0555346,4125.601570034767,589804.3301204086,99651,5.918699562677832,4837.482796314013
black,878223385.5330279,4650.991052736808,1466546.007081226,188825,7.766694066364232,5576.736145873293
hispanic,662070415.3246343,4514.35244563671,1010310.946301838,146659,6.888843823439666,5250.427911670945
native,24172163.002015606,4423.895132140484,36338.727613480725,5464,6.650572403638493,5154.663089227731
population,3192987549.7017527,4500.436302582937,5062035.208091109,709484,7.134812353895379,5345.872648830244
white,1221012572.534578,4525.83917140032,1957054.7897326183,269787,7.254073731249535,5390.972150832806
