demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,239228241.25592747,2400.6607184667237,633685.2648795599,99651,6.359045718352649,2755.6868163451736
black,472361384.48934984,2501.5828650303183,1334316.2179986555,188825,7.0664171481459315,2912.808927421746
hispanic,345848475.618177,2358.181056860997,916575.689635391,146659,6.249706391257209,2729.8504241884416
native,12978983.741783481,2375.363056695366,34628.78152499671,5464,6.337624730050642,2750.6603039260194
population,1775843225.342838,2503.0067279076598,5030663.201412129,709484,7.090594293052598,2917.89696773628
white,704185079.8280423,2610.1520081695644,2097131.3944809088,269787,7.773285571509779,3054.831985841449
