demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,266595055.2208451,2675.287304902561,629369.1022876198,99651,6.315732930804707,3097.885784447343
black,555144537.1912118,2939.9949010523596,1505417.3810868887,188825,7.972553322319019,3489.458983788157
hispanic,401473161.54833513,2737.4601050623223,982248.1954272914,146659,6.697496883432257,3196.535126681065
native,14618310.003571171,2675.3861646360124,34908.29787959992,5464,6.388780724670557,3117.214971297296
population,1995522372.8335953,2812.6390064238167,5140214.584855775,709484,7.24500423526926,3328.6137062290836
white,757296717.1194474,2807.017080583747,1973359.8076078251,269787,7.314510364131055,3344.6623834619695
