demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,282945148.8001986,2839.3608573942925,617463.6104370068,99651,6.1962610554536015,3277.8169088972804
black,583139972.2215955,3088.256174879362,1430554.5305431206,188825,7.576086485068823,3639.125533019068
hispanic,436930206.91255265,2979.2253248184747,1006793.2317831952,146659,6.864858152470664,3461.9647215515397
native,16070768.126471661,2941.209393570948,36928.06934063462,5464,6.75843143130209,3433.885812718636
population,2133124007.8999085,3006.5850785922003,5165273.832796023,709484,7.280324620140868,3567.5625641706415
white,815366862.000538,3022.261495181525,2065988.460926232,269787,7.6578503075620095,3658.416584730837
