,id_dest,H7X001
262,school_523,13
263,410470021022,40
264,410470021022,87
265,410470021022,29
266,410470021022,94
267,410470021022,67
268,410470021022,50
269,410470021022,39
270,410470021022,31
271,school_523,456
272,school_523,11
273,poll_2016_3,58
274,poll_2016_3,10
275,poll_2016_3,28
276,poll_2016_3,6
277,poll_2016_3,10
278,poll_2016_3,71
279,poll_2016_3,63
280,poll_2016_3,90
281,poll_2016_3,27
282,poll_2016_3,29
283,poll_2016_3,57
284,poll_2016_4,10
285,poll_2016_3,18
286,poll_2016_4,13
287,poll_2016_4,332
288,poll_2016_4,48
289,poll_2016_4,119
290,poll_2016_4,27
291,poll_2016_4,2
292,410470021022,100
293,poll_2016_4,70
294,poll_2016_4,160
295,poll_2016_4,61
296,410470021022,50
297,school_523,107
298,school_523,60
299,school_523,44
300,410470021022,22
301,poll_2016_4,109
302,poll_2016_4,2
303,school_523,86
304,410470021022,143
305,school_523,16
306,410470021022,29
307,poll_2016_3,36
308,poll_2016_3,5
309,poll_2016_3,470
310,poll_2016_3,2
311,poll_2016_4,72
312,poll_2016_3,7
313,poll_2016_3,25
314,poll_2016_4,11
315,poll_2016_3,7
316,poll_2016_6,103
317,410470016042,280
318,410470016042,142
319,410470016042,20
320,410470016042,2
321,410470016042,51
322,410470016022,23
323,410470016022,289
324,410470016022,51
325,410470016022,344
326,410470016022,7
327,410470016022,46
328,410470016022,558
329,410470016022,69
330,poll_2016_6,24
331,410470016022,1
332,poll_2016_6,6
333,poll_2016_6,309
334,410470016042,2
335,410470016042,8
336,410470016042,36
337,poll_2016_6,2
338,poll_2016_6,33
339,poll_2016_6,5
340,school_523,133
341,school_523,49
342,school_523,9
343,school_523,7
344,school_523,10
345,school_523,10
346,school_523,15
347,school_523,1
348,school_523,114
349,poll_2016_6,63
350,poll_2016_6,22
351,school_523,222
352,school_523,2
353,poll_2016_4,50
354,poll_2016_4,134
355,poll_2016_1,51
356,poll_2016_1,57
357,poll_2016_1,91
358,poll_2016_1,4
359,poll_2016_1,48
360,poll_2016_1,37
361,poll_2016_1,264
362,poll_2016_3,85
363,poll_2016_3,64
364,poll_2016_3,127
365,poll_2016_3,31
366,poll_2016_3,338
367,poll_2016_3,154
368,poll_2016_3,14
369,poll_2016_1,519
370,poll_2016_1,80
371,poll_2016_1,83
372,poll_2016_4,9
373,poll_2016_1,208
374,poll_2016_1,146
375,poll_2016_1,31
376,poll_2016_1,30
377,poll_2016_1,33
378,poll_2016_1,24
379,poll_2016_3,27
380,poll_2016_3,2
381,poll_2016_3,316
382,poll_2016_3,79
383,poll_2016_3,169
384,poll_2016_1,19
385,poll_2016_1,1
386,poll_2016_3,71
387,poll_2016_3,71
388,poll_2016_1,31
389,poll_2016_1,40
390,poll_2016_1,26
391,poll_2016_1,4
392,poll_2016_1,18
393,poll_2016_1,50
394,poll_2016_1,34
395,poll_2016_1,54
396,poll_2016_1,1
397,poll_2016_1,2
398,poll_2016_1,42
399,poll_2016_1,32
400,poll_2016_1,47
401,poll_2016_1,37
402,poll_2016_1,40
403,poll_2016_1,26
404,poll_2016_1,59
405,poll_2016_1,130
406,poll_2016_1,15
407,poll_2016_1,19
408,poll_2016_1,44
409,poll_2016_1,97
410,poll_2016_1,11
411,poll_2016_1,12
412,poll_2016_1,12
413,poll_2016_1,4
414,poll_2016_1,71
415,poll_2016_1,37
416,poll_2016_1,27
417,poll_2016_1,31
418,poll_2016_1,274
419,poll_2016_1,88
420,poll_2016_1,55
421,poll_2016_1,32
422,poll_2016_1,8
423,poll_2016_1,5
424,410470016022,13
425,410470016042,76
426,410470016042,195
427,410470016042,398
428,410470016042,66
429,410470016022,157
430,poll_2016_1,58
431,poll_2016_1,49
432,poll_2016_1,254
433,poll_2016_1,96
434,poll_2016_1,23
435,poll_2016_1,52
436,poll_2016_1,126
437,poll_2016_1,61
438,poll_2016_1,33
439,410470016042,51
440,410470016042,133
441,410470016042,37
442,poll_2016_1,8
443,poll_2016_1,30
444,poll_2016_1,25
445,poll_2016_1,71
446,poll_2016_1,47
447,poll_2016_1,93
448,poll_2016_3,39
449,poll_2016_3,30
450,poll_2016_3,20
451,poll_2016_3,35
452,poll_2016_3,43
453,poll_2016_3,47
454,poll_2016_3,42
455,poll_2016_3,18
456,poll_2016_1,12
457,poll_2016_1,31
458,poll_2016_1,22
459,poll_2016_1,47
460,poll_2016_1,77
461,poll_2016_1,39
462,poll_2016_1,49
463,poll_2016_3,36
464,poll_2016_3,46
465,poll_2016_3,11
466,poll_2016_3,17
467,poll_2016_3,4
468,poll_2016_1,48
469,poll_2016_1,32
470,poll_2016_1,4
471,poll_2016_3,40
472,poll_2016_3,226
473,poll_2016_3,24
474,poll_2016_3,11
475,poll_2016_3,8
476,poll_2016_3,213
477,poll_2016_3,24
478,poll_2016_3,23
479,poll_2016_3,30
480,poll_2016_3,33
481,poll_2016_3,20
482,poll_2016_3,49
483,poll_2016_3,32
484,poll_2016_3,22
485,poll_2016_3,16
486,poll_2016_3,35
487,poll_2016_3,10
488,poll_2016_3,10
489,poll_2016_3,217
490,poll_2016_3,42
491,poll_2016_1,33
492,poll_2016_3,15
493,poll_2016_3,31
494,poll_2016_3,23
495,poll_2016_3,37
