,index,id_orig,id_dest,distance_m,H7X001,H7X002,H7X003,H7X004,H7X005,H7Z010,pop_distance
68,68,410470009001008,poll_2016_1,2563.1,26,25,0,0,0,1,66640.59999999999
69,69,410470009002005,poll_2016_3,5512.7,21,15,0,0,1,5,115766.7
70,70,410470009002007,poll_2016_3,4417.3,22,18,0,0,0,10,97180.6
71,71,410470009002010,poll_2016_3,5432.1,56,46,0,0,1,7,304197.60000000003
72,72,410470009002014,poll_2016_3,5306.0,19,19,0,0,0,1,100814.0
73,73,410470009002021,poll_2016_3,5164.4,31,27,0,0,0,12,160096.4
74,74,410470009003019,poll_2016_3,3725.5,6,6,0,0,0,3,22353.0
75,75,410470009003025,poll_2016_3,4431.9,18,18,0,0,0,1,79774.2
76,76,410470009004007,poll_2016_1,1685.5,37,27,0,3,2,5,62363.5
77,77,410470009004008,poll_2016_1,1600.7,43,37,0,1,0,7,68830.1
78,78,410470009004011,poll_2016_1,1345.1,50,46,1,1,0,0,67255.0
79,79,410470009004021,poll_2016_1,2002.7,40,39,0,0,0,0,80108.0
80,80,410470009004024,poll_2016_1,1932.2,25,25,0,0,0,0,48305.0
81,81,410470009005000,poll_2016_1,2118.0,80,68,0,1,0,14,169440.0
82,82,410470009005012,poll_2016_1,1722.6,28,27,1,0,0,4,48232.799999999996
83,83,410470009005013,poll_2016_1,1845.3,35,32,0,0,0,3,64585.5
84,84,410470009006009,poll_2016_1,2397.9,193,144,0,3,9,39,462794.7
85,85,410470009007007,poll_2016_1,1542.2,87,73,4,1,2,19,134171.4
86,86,410470010001013,poll_2016_3,3804.2,6,6,0,0,0,0,22825.199999999997
87,87,410470010001023,poll_2016_3,3479.6,24,16,0,3,0,4,83510.4
88,88,410470010001026,poll_2016_3,3686.8,27,24,0,1,0,10,99543.6
89,89,410470010001027,poll_2016_3,3692.0,29,29,0,0,0,6,107068.0
90,90,410470010002017,poll_2016_3,2558.3,5,0,1,0,0,0,12791.5
91,91,410470010002025,poll_2016_3,2156.5,50,46,0,0,0,4,107825.0
92,92,410470010002031,poll_2016_3,2360.4,32,29,0,0,0,0,75532.8
93,93,410470010003016,poll_2016_1,3011.5,16,10,1,0,0,1,48184.0
94,94,410470010003040,poll_2016_1,5961.3,233,217,0,1,1,16,1388982.9000000001
95,95,410470010003043,poll_2016_1,6418.9,39,38,1,0,0,1,250337.09999999998
96,96,410470010003046,poll_2016_1,6870.1,17,17,0,0,0,0,116791.70000000001
97,97,410470010003048,poll_2016_1,6950.6,24,19,2,0,0,4,166814.40000000002
98,98,410470010003059,poll_2016_3,2593.6,47,36,0,0,0,13,121899.2
99,99,410470011001000,poll_2016_3,1971.6,43,39,0,0,0,12,84778.8
100,100,410470011001009,poll_2016_3,2012.7,57,48,4,0,3,0,114723.90000000001
101,101,410470011001014,poll_2016_3,1911.6,13,13,0,0,0,0,24850.8
102,102,410470011002010,poll_2016_3,1424.3,35,34,1,0,0,6,49850.5
103,103,410470012001003,poll_2016_3,3140.7,77,65,0,2,1,12,241833.9
104,104,410470012001012,poll_2016_3,2818.7,45,32,1,0,0,12,126841.49999999999
105,105,410470012001017,poll_2016_3,2382.5,1,1,0,0,0,0,2382.5
106,106,410470012001024,poll_2016_3,2211.0,13,12,0,0,0,0,28743.0
107,107,410470012001034,poll_2016_3,2038.7,31,29,0,1,0,2,63199.700000000004
108,108,410470012001041,poll_2016_3,3151.1,13,10,0,0,0,3,40964.299999999996
109,109,410470012001043,poll_2016_3,2953.0,151,124,0,1,0,50,445903.0
110,110,410470012001045,poll_2016_3,2395.1,33,30,2,0,0,1,79038.3
111,111,410470012001058,poll_2016_3,1575.6,11,11,0,0,0,0,17331.6
112,112,410470012001062,poll_2016_3,1380.7,18,14,0,0,0,3,24852.600000000002
113,113,410470012002016,poll_2016_3,2033.1,50,50,0,0,0,2,101655.0
114,114,410470012002017,poll_2016_3,2119.9,41,40,1,0,0,0,86915.90000000001
115,115,410470012002022,poll_2016_3,1525.3,19,19,0,0,0,0,28980.7
116,116,410470012002024,poll_2016_3,1572.7,22,21,1,0,0,2,34599.4
117,117,410470012002027,poll_2016_3,1136.1,24,23,0,1,0,0,27266.399999999998
118,118,410470012002033,poll_2016_3,1318.4,28,25,0,2,0,1,36915.200000000004
119,119,410470012002050,poll_2016_3,1339.8,121,92,10,6,0,15,162115.8
120,120,410470013001028,poll_2016_1,2234.7,2,1,0,0,0,0,4469.4
121,121,410470013001038,poll_2016_3,1495.2,73,65,1,1,2,3,109149.6
122,122,410470013001039,poll_2016_3,1247.5,10,10,0,0,0,0,12475.0
123,123,410470013002003,poll_2016_1,1786.4,16,14,0,0,0,1,28582.4
124,124,410470013002012,poll_2016_1,1965.7,20,18,0,0,0,0,39314.0
125,125,410470013002021,poll_2016_3,2165.0,48,35,0,0,3,19,103920.0
126,126,410470013002034,poll_2016_3,1991.4,22,19,0,0,3,0,43810.8
127,127,410470013002040,poll_2016_3,1768.3,18,17,0,0,0,1,31829.399999999998
128,128,410470013003015,poll_2016_3,677.0,37,33,0,0,0,0,25049.0
129,129,410470013003016,poll_2016_3,645.2,35,35,0,0,0,0,22582.0
130,130,410470014011011,410470016022,9352.6,90,88,0,0,0,6,841734.0
131,131,410470014011012,410470016022,9226.6,503,439,5,2,20,36,4640979.8
132,132,410470014011026,410470016022,8685.3,30,27,0,0,3,0,260558.99999999997
133,133,410470014012000,410470016042,10678.9,6,6,0,0,0,0,64073.399999999994
134,134,410470014012019,410470016022,8619.2,249,222,0,0,4,26,2146180.8000000003
135,135,410470014013000,410470016022,7305.8,384,321,1,4,4,78,2805427.2
136,136,410470014013010,410470016022,7893.0,103,95,0,0,1,20,812979.0
137,137,410470014013012,410470016042,10632.6,212,193,1,2,5,28,2254111.2
138,138,410470014022001,410470016022,7259.8,177,119,1,14,1,34,1284984.6
139,139,410470014022002,410470016022,7510.2,223,167,3,5,8,60,1674774.5999999999
140,140,410470014022010,410470016022,6461.0,79,70,0,0,0,15,510419.0
141,141,410470014022024,poll_2016_1,6674.7,134,123,0,1,0,8,894409.7999999999
142,142,410470014023004,poll_2016_1,7177.3,84,71,0,0,0,16,602893.2000000001
143,143,410470014023008,poll_2016_1,6565.9,107,100,0,4,3,0,702551.2999999999
144,144,410470014023009,poll_2016_1,7320.1,31,30,0,0,1,5,226923.1
145,145,410470014023011,410470016022,6831.4,25,22,0,0,1,2,170785.0
146,146,410470014023012,410470016022,6715.5,78,63,0,0,2,15,523809.0
147,147,410470014023015,410470016022,6473.5,38,29,0,1,0,8,245993.0
148,148,410470014023016,410470016022,6663.9,64,54,0,3,0,6,426489.6
149,149,410470014023018,410470016022,6619.7,47,45,0,1,1,0,311125.89999999997
150,150,410470014023035,410470016022,6975.4,282,210,12,5,2,56,1967062.7999999998
