,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
208,131350501051029,Bogan Park Community Recreation Center,2932.151388843283,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1215883,-83.9938268,EV_2022_2020,polling,7,0,7,0,7,0,0,0,0,0,20525.05972190298,2.848077728488162,0,1.0
217,131350501051030,Bogan Park Community Recreation Center,3095.259212534912,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1231261,-83.9946393,EV_2022_2020,polling,21,9,12,0,12,0,0,0,3,6,65000.443463233154,3.0188209396148493,0,1.0
226,131350501051031,Bogan Park Community Recreation Center,2764.280158042574,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1211548,-83.9919367,EV_2022_2020,polling,22,5,17,1,17,0,0,0,0,4,60814.16347693663,2.6824268186370457,0,1.0
235,131350501051032,Bogan Park Community Recreation Center,2731.001478975795,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1167698,-83.9948187,EV_2022_2020,polling,72,35,37,33,4,3,1,0,20,11,196632.10648625725,2.6507508614759567,0,1.0
244,131350501051033,Bogan Park Community Recreation Center,3021.233885935117,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1182799,-83.9974311,EV_2022_2020,polling,24,5,19,17,2,0,0,0,3,2,72509.61326244281,2.9400972914584966,0,1.0
253,131350501051034,Bogan Park Community Recreation Center,3235.535101007933,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1199092,-83.9990236,EV_2022_2020,polling,25,9,16,13,4,0,2,0,1,5,80888.37752519833,3.1738280015178613,0,1.0
262,131350501051035,Bogan Park Community Recreation Center,3324.660249466136,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1208899,-83.999468,EV_2022_2020,polling,23,4,19,11,5,0,2,0,3,2,76467.18573772113,3.2764222284936713,0,1.0
271,131350501052000,Bogan Park Community Recreation Center,2909.9152550413096,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1276424,-83.9505545,EV_2022_2020,polling,10,9,1,6,1,0,0,0,2,1,29099.152550413095,2.825561201013802,0,1.0
280,131350501052001,Bogan Park Community Recreation Center,2797.051725999785,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1276383,-83.9528501,EV_2022_2020,polling,100,9,91,28,22,0,41,0,0,9,279705.1725999785,2.713989978516583,0,1.0
289,131350501052002,Bogan Park Community Recreation Center,2849.234883023387,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1290517,-83.9548604,EV_2022_2020,polling,17,3,14,8,2,0,3,0,0,4,48436.99301139758,2.765017254919502,0,1.0
