demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,21130093.00325999,3867.1473285614916,33247.42054584498,5464,6.084813423470897,4509.450358280739
black,1175184368.8719237,4355.97107670838,2385370.7089883676,269787,8.84168143382879,5442.609955090027
hispanic,576376459.6631663,3930.0449318702995,939942.9077921341,146659,6.4090366618627845,4639.087745923085
native,783592785.6936456,4149.8360158540745,1339462.157804749,188825,7.093669576617232,4892.538997827291
population,2928089367.6027064,4127.06892277022,5294368.661536005,709484,7.462280560993631,5019.043353728922
white,2651493217.857725,4129.8201625107085,4812080.50179293,642036,7.495032212824405,5029.9795231910675
