demographic,weighted_dist,demo_pop,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,13342896.814344317,5464,2441.9650099458854,14258.337238920158,5464,2.609505351193294,2687.067962896846
black,688123033.5420275,269787,2550.615980540306,744945.1517557343,269787,2.76123442477115,2845.3995460422075
hispanic,362523775.73411125,146659,2471.8822283945156,387502.27499841194,146659,2.642199080850217,2721.9488145590494
native,511052594.15045136,188825,2706.4879870274135,554719.6599966533,188825,2.9377447901318856,3018.991402390435
population,1815616737.729507,709484,2559.066501470797,1955350.4934450695,709484,2.756017744508783,2840.10182857928
white,1643806476.5131693,642036,2560.3026567251204,1770323.8762573306,642036,2.7573592076726703,2841.4650875125876
