demographic,weighted_dist,demo_pop,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,20863093.748802338,5464,3818.282164861336,25580.06602909035,5464,4.681564060960898,4324.452465462403
black,1098625171.1334305,269787,4072.1946244015853,1430439.5873784581,269787,5.302107171132998,4673.158272971258
hispanic,565531221.4586399,146659,3856.0962604316123,694176.2370735287,146659,4.733267219015053,4355.222371758787
native,765098365.05535,188825,4051.891248803654,969751.6902133514,188825,5.135716617044096,4583.833323904431
population,2811175913.366903,709484,3962.2823254180544,3555884.0269616744,709484,5.011929834868263,4515.4818683339145
white,2543246630.94381,642036,3961.221225825047,3219449.0052883215,642036,5.014436893395887,4516.882868461406
