demographic,weighted_dist,demo_pop,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,19539777.38866495,5464,3576.0939583940244,22991.170297922214,5464,4.2077544469110935,4025.525933603784
black,984783379.9424026,269787,3650.225473956872,1207722.260816984,269787,4.476576932235371,4199.020251342226
hispanic,530128789.9152112,146659,3614.7034271010384,623514.736360773,146659,4.251459074184148,4054.4739344260424
native,694793782.3661939,188825,3679.564582900537,822891.4850230492,188825,4.357958347798486,4123.786553982187
population,2557655510.9362693,709484,3604.9516422305073,3050263.930223728,709484,4.299270921153582,4085.8034826595285
white,2311746394.571368,642036,3600.649176325577,2757577.6202947707,642036,4.295051399446091,4083.0526200425643
