demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,415462183.1552156,4169.172242679107,619565.2147384677,99651,6.217350701332327,4907.700741826866
black,841347937.963472,4455.702041379436,1293124.5788791326,188825,6.848269979500239,5167.279671784721
hispanic,658889782.32465,4492.665177893276,1021163.5153634975,146659,6.96284248060806,5211.84011269967
native,24039149.95405461,4399.551602132981,36397.31053802045,5464,6.661294022331708,5092.933270935234
population,3177857175.756344,4479.11041793239,5122422.191825961,709484,7.219926301123015,5309.2154733438065
white,1242032211.64175,4603.751150506697,2152784.8913699896,269787,7.979572371426309,5577.893287966062
