demographic,weighted_dist,demo_pop,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,14618310.003571171,5464,2675.3861646360124,15541.553487110508,5464,2.8443545913452613,2928.4867726314037
black,757296717.1194474,269787,2807.017080583747,819223.9639955899,269787,3.0365583367456175,3111.6714223419067
hispanic,401473161.54833513,146659,2737.4601050623223,427630.6101092134,146659,2.9158156683818475,2998.0010156355643
native,555144537.1912118,188825,2939.9949010523596,603135.2126207381,188825,3.194149146674106,3253.4150153773494
population,1995522372.8335953,709484,2812.6390064238167,2150161.690323742,709484,3.0305992669654875,3106.168281693231
white,1805504001.8695881,642036,2812.153838522432,1945683.6366246634,642036,3.030489936116765,3106.0672147053965
