demographic,weighted_dist,demo_pop,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,14388377.4255851,5464,2633.3047997044473,15265.87665182994,5464,2.7939012905984515,2878.348002946432
black,728218227.3472469,269787,2699.233941395423,785390.8288354579,269787,2.911151496682412,2993.5161510991343
hispanic,393743189.74929905,146659,2684.7529967427777,417717.47243439476,146659,2.8482225600501487,2932.2938470973454
native,537679497.5568308,188825,2847.501642032733,580629.3192651421,188825,3.0749599855164416,3146.877994878859
population,1927995292.4503071,709484,2717.4612710791325,2067777.3723463889,709484,2.914480625844119,2996.7180300896653
white,1743663238.9547548,642036,2715.834063751495,1870414.9616728812,642036,2.913255583289537,2995.540238158486
