demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,16315608.41412885,2986.0191094672127,36012.62386258562,5464,6.590890165187705,3472.7315199774994
black,850344734.9785743,3151.911452288562,2088057.149273621,269787,7.73965072176799,3768.6220382413067
hispanic,444683503.2754585,3032.0914725687376,990134.3269032034,146659,6.751268772480403,3517.0079419212043
native,594066304.6865128,3146.121036337947,1399310.1159443578,188825,7.4106189113960435,3688.617045417853
population,2193548339.7470136,3091.7516670524124,5136617.459751593,709484,7.239934177164803,3645.7037781841796
white,1984177970.9284222,3090.44659634105,4651547.6384074185,642036,7.244995044526193,3646.9906635626353
