id_dest,dest_lat,dest_lon,demographic,weighted_dist,demo_pop,avg_dist
131350501212,34.1193852,-84.0577616,population,73729394.7716676,27818,2650.42040303644
131350503362,33.9642062,-84.2315195,population,116772027.860235,41431,2818.46993459572
131350504382,33.9171568,-84.1688248,population,108298036.612071,43844,2470.07655807114
131350505532,33.9915945,-84.0381194,population,105091387.047469,42097,2496.41036291112
131350505761,33.9371631,-84.10126,population,126813677.383924,53612,2365.39725031567
131350505792,34.0304129,-83.9674196,population,112367156.911464,38007,2956.48582922788
131350506173,34.0749013,-83.8927159,population,95533952.579758,28782,3319.22564727114
131350506252,33.9136192,-83.8657073,population,81784786.5850862,20652,3960.13880423621
131350507522,33.856398,-83.9590106,population,114832129.881857,36699,3129.02612828299
131350507612,33.8997516,-84.0577654,population,117886561.578611,42236,2791.13934981084
Bogan Park Community Recreation Center,34.10593,-83.9682,population,73652877.8416256,25712,2864.53320790392
Dacula Park Activity Building,33.9961,-83.89283,population,76310433.2393224,23504,3246.69984850759
Gas South-Hudgens Center for Arts,33.99165,-84.09391,population,77673002.3197867,28972,2680.9679110792
George Pierce Park Community Recreation Center,34.05925,-84.05714,population,97860416.6680391,32870,2977.19551773773
Gwinnett County Fairgrounds,33.91845,-83.988,population,92608097.2995389,34656,2672.20964045299
Gwinnett County Public Library - Centerville Branch,33.8266592544959,-84.0524351205992,population,100736602.783794,37047,2719.15682197732
Lenora Park Gym,33.78823,-84.00129,population,52902244.0769496,18664,2834.45371179541
Lucky Shoals Park Community Recreation Center,33.88058,-84.19716,population,68183238.6593351,31915,2136.40102332242
Mountain Park Activity Building,33.84508,-84.13328,population,72775932.4624125,25978,2801.44477875173
Rhodes Jordan Park Community Recreation Center,33.95615,-83.98751,population,94829947.3546942,32786,2892.39148888837
Shorty Howell Park Activity Building,33.97391,-84.14712,population,112467304.863949,42202,2664.97570882775
