id_dest,dest_lat,dest_lon,demographic,weighted_dist,demo_pop,avg_dist
Atlantic Communication Services Inc,33.9242714313152,-84.2069103278592,population,82893433.6345764,32395,2558.83419152883
Bethesda Senior Center,33.913330363563,-84.0900098908051,population,58816111.4679695,26393,2228.47389337967
Bogan Park Community Recreation Center,34.10593,-83.9682,population,65237045.3443186,23751,2746.7073110319
Chattahoochee Run Community Clubhouse & Amenities Center,34.0717147347827,-84.1027186663745,population,34165973.2624306,13800,2475.79516394424
Dacula Park Activity Building,33.9961,-83.89283,population,42771817.2221345,15537,2752.90063861328
DeVry University,33.9602841496697,-84.1244499883213,population,45235170.4227504,21625,2091.79978833528
Esan Community of Georgia,33.8186508495907,-84.0738746525232,population,75135221.9931243,28690,2618.86448215839
Gas South-Hudgens Center for Arts,33.99165,-84.09391,population,34686944.9143593,16640,2084.5519780264
George Pierce Park Community Recreation Center,34.05925,-84.05714,population,50689751.558491,20640,2455.89881581836
Gwinnett County Fairgrounds,33.91845,-83.988,population,42141936.361842,20586,2047.11631020315
Gwinnett County Public Library - Duluth Branch,34.011363153173,-84.1462126256716,population,37386705.4488083,18683,2001.10825075247
Gwinnett County Public Library - Five Forks Branch,33.9030605457372,-84.0558683479047,population,74826981.4610817,31232,2395.84341256025
Gwinnett County Public Library - Grayson Branch,33.9030605457372,-83.9659177925014,population,71206182.592486,23722,3001.6938956448
Gwinnett County Public Library - Lawrenceville2,34.0260708305318,-84.0016233564783,population,91192964.2916785,33853,2693.7927005488
Gwinnett County Public Library - Lilburn2,33.8615372782316,-84.1290464891442,population,60984182.7504013,25435,2397.64823080013
Gwinnett County Public Library - Peachtree Corners Branch,33.9828097206579,-84.2261564222559,population,69520177.2169164,24789,2804.4768734889
Gwinnett County Public Library - Snellville Branch,33.8586863248512,-84.017123278986,population,94015942.2616505,31421,2992.13717773624
Gwinnett County fire station - Potential 17,33.958247086851,-83.8607553361306,population,34397326.6913328,10760,3196.77757354394
Gwinnett County fire station - Potential 18,34.0726464784013,-83.8758615374068,population,57968647.0079449,18666,3105.57414593083
Gwinnett County fire station - Potential 27,34.0464791282894,-83.9150003314026,population,66571038.2892929,27180,2449.2655735575
Gwinnett County fire station - Potential 30,33.901274571982,-83.8950876115655,population,83688171.8089344,22643,3695.98426926354
Gwinnett Technical College,33.9745209816315,-84.0688317025115,population,74613627.5763412,30739,2427.32774574128
Lenora Park Gym,33.78823,-84.00129,population,79303795.7042043,23282,3406.22780277486
Lilburn Activity Building,33.9137532173731,-84.1451431542789,population,60183399.319762,30121,1998.05449087886
Lucky Shoals Park Community Recreation Center,33.88058,-84.19716,population,52102614.6170904,27830,1872.1744382713
Pinckneyville Park Community Recreation Center,33.97062,-84.18529,population,32811820.969889,15628,2099.55342781475
Revolution Teen Center,33.9852170103525,-84.0107081745879,population,54755611.648226,25199,2172.92795937243
Rhodes Jordan Park Community Recreation Center,33.95615,-83.98751,population,67943333.7375352,25109,2705.93547084851
Shorty Howell Park Activity Building,33.97391,-84.14712,population,28804350.4867433,17316,1663.45290406233
Sugar Hill Community Center,34.122888913849,-84.0464137385648,population,66993689.4816659,25819,2594.74377325481
