id_dest,dest_lat,dest_lon,demographic,weighted_dist,demo_pop,avg_dist
Bogan Park Community Recreation Center,34.10593,-83.9682,population,65237045.3443186,23751,2746.7073110319
Dacula Park Activity Building,33.9961,-83.89283,population,73453249.3860338,21930,3349.44137647213
Esan Community of Georgia,33.8186508495907,-84.0738746525232,population,70665099.3798207,27437,2575.54030614939
Gas South-Hudgens Center for Arts,33.99165,-84.09391,population,158405453.224078,48550,3262.72818175237
George Pierce Park Community Recreation Center,34.05925,-84.05714,population,100538203.622042,33354,3014.27725676208
Gwinnett College - Lilburn Campus,33.9158499212691,-84.1203301156637,population,154709485.795025,55504,2787.35741198878
Gwinnett County Fairgrounds,33.91845,-83.988,population,84243593.5387462,32524,2590.19780896403
Gwinnett County Public Library - Five Forks Branch,33.9030605457372,-84.0558683479047,population,133985276.129487,45906,2918.68766892098
Gwinnett County Public Library - Lawrenceville2,34.0260708305318,-84.0016233564783,population,130046322.523653,43878,2963.81609288602
Gwinnett County Public Library - Norcross Branch,33.9532870777515,-84.20801071717,population,199184082.067578,57761,3448.4181726005
Gwinnett County Public Library - Snellville Branch,33.8586863248512,-84.017123278986,population,120211753.148526,36444,3298.53345265411
Gwinnett County fire station - Potential 18,34.0726464784013,-83.8758615374068,population,57968647.0079449,18666,3105.57414593083
Gwinnett County fire station - Potential 27,34.0464791282894,-83.9150003314026,population,66571038.2892929,27180,2449.2655735575
Gwinnett County fire station - Potential 30,33.901274571982,-83.8950876115655,population,139052112.935278,32494,4279.31657953092
Lenora Park Gym,33.78823,-84.00129,population,79303795.7042043,23282,3406.22780277486
Lucky Shoals Park Community Recreation Center,33.88058,-84.19716,population,111638013.19079,44595,2503.37511359548
Mountain Park Activity Building,33.84508,-84.13328,population,58106728.2601141,22400,2594.0503687551
Rhodes Jordan Park Community Recreation Center,33.95615,-83.98751,population,141191475.863819,43464,3248.46944284509
Shorty Howell Park Activity Building,33.97391,-84.14712,population,117897406.298125,43747,2694.98265705364
Sugar Hill Community Center,34.122888913849,-84.0464137385648,population,70715226.1910316,26617,2656.7692148263
