id_dest,dest_lat,dest_lon,demographic,weighted_dist,demo_pop,avg_dist
131350501212,34.1193852,-84.0577616,population,73729394.7716676,27818,2650.42040303644
131350502352,34.0175516,-84.1337653,population,42574884.6735759,19592,2173.07496292241
131350504383,33.9137873,-84.1760276,population,2866549.9779043,795,3605.72324264692
131350505532,33.9915945,-84.0381194,population,7440780.51459211,2111,3524.76575774141
131350505593,33.9311187,-84.0550447,population,613061.169474103,186,3296.02779287152
131350505771,33.9317245,-84.111969,population,5048881.42040182,1275,3959.90699639358
131350505793,34.0324132,-83.9823311,population,4894910.99632195,1271,3851.22816390397
131350506162,34.0932992,-83.8739185,population,45582992.3455119,16076,2835.46854600099
131350507444,33.8822106,-83.9118306,population,693312.297658822,152,4561.26511617646
131350507491,33.8219273,-84.0573142,population,69198048.913445,28527,2425.70368119483
131350507521,33.8476683,-83.9680775,population,62041614.0978501,24573,2524.78794196273
Bogan Park Community Recreation Center,34.10593,-83.9682,population,66895034.1023935,24197,2764.60032658567
Dacula Park Activity Building,33.9961,-83.89283,population,30919758.3799297,12829,2410.14563722267
Gas South-Hudgens Center for Arts,33.99165,-84.09391,population,1889764.67626114,550,3435.93577502025
George Pierce Park Community Recreation Center,34.05925,-84.05714,population,83068012.7696549,29521,2813.86175162274
Gwinnett County Fairgrounds,33.91845,-83.988,population,363455.799556907,108,3365.33147737877
Lucky Shoals Park Community Recreation Center,33.88058,-84.19716,population,55496023.5743846,28299,1961.05952770008
Rhodes Jordan Park Community Recreation Center,33.95615,-83.98751,population,41933988.1768179,19201,2183.94813691047
