id_dest,dest_lat,dest_lon,demographic,weighted_dist,demo_pop,avg_dist
131350507444,33.8822106,-83.9118306,population,168060588.999666,39225,4284.52744422348
Bogan Park Community Recreation Center,34.10593,-83.9682,population,300085874.026517,57314,5235.82151004147
Dacula Park Activity Building,33.9961,-83.89283,population,264566832.859285,52071,5080.88634478473
Gas South-Hudgens Center for Arts,33.99165,-84.09391,population,418582164.236363,94409,4433.71039028443
George Pierce Park Community Recreation Center,34.05925,-84.05714,population,304564127.566438,68226,4464.04783464425
Gwinnett County Fairgrounds,33.91845,-83.988,population,316430030.527704,71121,4449.1785903981
Lenora Park Gym,33.78823,-84.00129,population,243136814.036552,50817,4784.55662547084
Lucky Shoals Park Community Recreation Center,33.88058,-84.19716,population,231349194.002269,65861,3512.68875362156
Mountain Park Activity Building,33.84508,-84.13328,population,280225990.529489,58340,4803.32517191446
Pinckneyville Park Community Recreation Center,33.97062,-84.18529,population,398192695.899507,91503,4351.69006370837
Rhodes Jordan Park Community Recreation Center,33.95615,-83.98751,population,241481792.630356,60597,3985.0453426796
